city,lat,long,make,mileage,model,price,province,sepc,year
Windsor,42.30423,-83.029861,Ford,327545,Ford F-250,12999,Ontario,Ford F-250 FX4 Annual Clearance Sale!,2008
Verona,44.4784887,-76.6958284,Ford,219434,Ford Ranger,1200,Ontario,Ford Ranger XL - AS TRADED,2008
Calgary,51.02532675,-114.049868485806,Ford,212983,Ford Focus,2990,Alberta,Ford Focus SE,2008
Sherwood Park,53.5256963,-113.2966313,Ford,143402,Ford F-150,17278,Alberta,Ford F-150 Lariat,2008
Boucherville,45.6050197,-73.4526144,Ford,224115,Ford Edge,3995,Québec,Ford Edge SEL SIEGES AV CHAUFF,2008
Aylmer,42.773227,-80.983658,Ford,132000,Ford F-350,23995,Ontario,Ford F-350 XLT! CREW! AS IS! LOW KM!,2008
Lethbridge,49.694285,-112.851562,Ford,167250,Ford F-150,12489,Alberta,Ford F-150 XLT ,2008
Terrebonne,45.7081005,-73.6515157,Ford,10754,Ford Mustang,38991,Québec,Ford Mustang SHELBY BAS KM MANUEL CUIR,2008
Lethbridge,49.694285,-112.851562,Ford,118998,Ford Ranger,9998,Alberta,Ford Ranger ,2008
Windsor,42.30423,-83.029861,Ford,219997,Ford Escape,2850,Ontario,Ford Escape XLT 4D UTILITY 2WD,2008
Lethbridge,49.694285,-112.851562,Ford,215698,Ford Expedition,9995,Alberta,Ford Expedition SSV,2008
Brampton,43.6858146,-79.7599337,Ford,169139,Ford Escape,5888,Ontario,Ford Escape Limited,2008
Vegreville,53.5,-112.05,Ford,10692,Ford Mustang,21995,Alberta,Ford Mustang GT BULLITT,2008
Nanaimo,49.1637594,-123.9379719,Ford,85601,Ford Escape,11995,British Columbia,Ford Escape XLT 4x4,2008
Windsor,42.30423,-83.029861,Ford,299306,Ford F-350,15999,Ontario,Ford F-350 XLT,2008
Duncan,48.7786872,-123.7080446,Ford,212504,Ford Escape,9995,British Columbia,Ford Escape LIMITED- SUNROOF ALLOY WHEELS AUX,2008
Clarington,43.96868585,-78.6513573827391,Ford,147117,Ford Ranger,11996,Ontario,Ford Ranger FX4,2008
Charlesbourg,46.8958611,-71.2910300583245,Ford,204820,Ford Taurus,5850,Québec,Ford Taurus X SEL,2008
Montréal-Nord,45.5938992,-73.6376062,Ford,140041,Ford F-150,13995,Québec,Ford F-150 XLT supercrew,2008
Caledonia,45.2773029,-62.3899848,Ford,228369,Ford Ranger,5495,Nova Scotia,Ford Ranger Sport ,2008
Stratford,46.2189935,-63.0876534061131,Ford,219997,Ford Escape,2850,Prince Edward Island,Ford Escape XLT 4D UTILITY 2WD,2008
Thetford Mines,46.091329,-71.30127,Ford,101402,Ford Ranger,8495,Québec,Ford Ranger 4WD SuperCab 126  Sport,2008
